Atoms	Quanta	Temperature	Cv
1	1	3.222509E+02	1.561531E+01
1	2	4.795757E+02	1.614709E+01
1	3	6.301451E+02	1.634491E+01
1	4	7.782276E+02	1.644117E+01
1	5	9.250855E+02	1.649544E+01
1	6	1.071243E+03	1.652910E+01
1	7	1.216959E+03	1.655143E+01
1	8	1.362380E+03	1.656701E+01
1	9	1.507592E+03	1.657832E+01
1	10	1.652651E+03	1.658678E+01
1	11	1.797595E+03	1.659329E+01
1	12	1.942450E+03	1.659839E+01
1	13	2.087234E+03	1.660247E+01
1	14	2.231961E+03	1.660578E+01
1	15	2.376642E+03	1.660851E+01
1	16	2.521285E+03	1.661078E+01
1	17	2.665896E+03	1.661270E+01
1	18	2.810480E+03	1.661432E+01
1	19	2.955040E+03	1.661571E+01
1	20	3.099581E+03	1.661692E+01
1	21	3.244105E+03	1.661796E+01
1	22	3.388614E+03	1.661888E+01
1	23	3.533110E+03	1.661968E+01
1	24	3.677594E+03	1.662039E+01
1	25	3.822068E+03	1.662102E+01
1	26	3.966533E+03	1.662159E+01
1	27	4.110990E+03	1.662209E+01
1	28	4.255440E+03	1.662255E+01
1	29	4.399882E+03	1.662296E+01
1	30	4.544319E+03	1.662333E+01
1	31	4.688751E+03	1.662367E+01
1	32	4.833177E+03	1.662398E+01
1	33	4.977599E+03	1.662427E+01
1	34	5.122017E+03	1.662452E+01
1	35	5.266431E+03	1.662476E+01
1	36	5.410842E+03	1.662498E+01
1	37	5.555249E+03	1.662518E+01
1	38	5.699654E+03	1.662537E+01
1	39	5.844056E+03	1.662554E+01
1	40	5.988455E+03	1.662571E+01
1	41	6.132852E+03	1.662586E+01
1	42	6.277246E+03	1.662599E+01
1	43	6.421639E+03	1.662613E+01
1	44	6.566029E+03	1.662625E+01
1	45	6.710418E+03	1.662636E+01
1	46	6.854806E+03	1.662647E+01
1	47	6.999191E+03	1.662657E+01
1	48	7.143575E+03	1.662666E+01
1	49	7.287958E+03	1.662675E+01
1	50	7.432339E+03	1.662683E+01
1	51	7.576720E+03	1.662691E+01
1	52	7.721099E+03	1.662699E+01
1	53	7.865477E+03	1.662706E+01
1	54	8.009853E+03	1.662713E+01
1	55	8.154229E+03	1.662719E+01
1	56	8.298604E+03	1.662725E+01
1	57	8.442978E+03	1.662731E+01
1	58	8.587352E+03	1.662736E+01
1	59	8.731724E+03	1.662741E+01
1	60	8.876096E+03	1.662746E+01
1	61	9.020467E+03	1.662751E+01
1	62	9.164837E+03	1.662755E+01
1	63	9.309207E+03	1.662759E+01
1	64	9.453576E+03	1.662763E+01
1	65	9.597944E+03	1.662767E+01
1	66	9.742312E+03	1.662771E+01
1	67	9.886679E+03	1.662774E+01
1	68	1.003105E+04	1.662778E+01
1	69	1.017541E+04	1.662781E+01
1	70	1.031978E+04	1.662784E+01
1	71	1.046414E+04	1.662787E+01
1	72	1.060851E+04	1.662790E+01
1	73	1.075287E+04	1.662793E+01
1	74	1.089724E+04	1.662795E+01
1	75	1.104160E+04	1.662798E+01
1	76	1.118596E+04	1.662800E+01
1	77	1.133033E+04	1.662803E+01
1	78	1.147469E+04	1.662805E+01
1	79	1.161905E+04	1.662807E+01
1	80	1.176341E+04	1.662809E+01
1	81	1.190777E+04	1.662811E+01
1	82	1.205214E+04	1.662813E+01
1	83	1.219650E+04	1.662815E+01
1	84	1.234086E+04	1.662817E+01
1	85	1.248522E+04	1.662818E+01
1	86	1.262958E+04	1.662820E+01
1	87	1.277394E+04	1.662822E+01
1	88	1.291830E+04	1.662823E+01
1	89	1.306266E+04	1.662825E+01
1	90	1.320702E+04	1.662826E+01
1	91	1.335137E+04	1.662828E+01
1	92	1.349573E+04	1.662829E+01
1	93	1.364009E+04	1.662830E+01
1	94	1.378445E+04	1.662832E+01
1	95	1.392881E+04	1.662833E+01
1	96	1.407317E+04	1.662834E+01
1	97	1.421752E+04	1.662835E+01
1	98	1.436188E+04	1.662837E+01
1	99	1.450624E+04	1.662838E+01
1	100	1.465060E+04	1.662839E+01
1	200	2.908591E+04	1.662879E+01
1	300	4.352095E+04	1.662886E+01
1	400	5.795592E+04	1.662889E+01
1	500	7.239087E+04	1.662890E+01
1	600	8.682580E+04	1.662891E+01
1	700	1.012607E+05	1.662891E+01
1	800	1.156956E+05	1.662892E+01
1	900	1.301306E+05	1.662892E+01
1	1000	1.445655E+05	1.662892E+01
1	1100	1.590004E+05	1.662892E+01
1	1200	1.734353E+05	1.662892E+01
1	1300	1.878702E+05	1.662892E+01
1	1400	2.023051E+05	1.662892E+01
1	1500	2.167400E+05	1.662892E+01
1	1600	2.311749E+05	1.662892E+01
1	1700	2.456098E+05	1.662892E+01
1	1800	2.600447E+05	1.662892E+01
1	1900	2.744796E+05	1.662892E+01
1	2000	2.889145E+05	1.662892E+01
1	2100	3.033494E+05	1.662892E+01
1	2200	3.177843E+05	1.662892E+01
1	2300	3.322193E+05	1.662892E+01
1	2400	3.466542E+05	1.662892E+01
1	2500	3.610891E+05	1.662892E+01
1	2600	3.755240E+05	1.662892E+01
1	2700	3.899589E+05	1.662892E+01
1	2800	4.043938E+05	1.662892E+01
1	2900	4.188287E+05	1.662892E+01
1	3000	4.332636E+05	1.662892E+01
1	3100	4.476985E+05	1.662892E+01
1	3200	4.621334E+05	1.662892E+01
1	3300	4.765683E+05	1.662892E+01
1	3400	4.910032E+05	1.662892E+01
1	3500	5.054381E+05	1.662892E+01
1	3600	5.198730E+05	1.662892E+01
1	3700	5.343079E+05	1.662892E+01
1	3800	5.487428E+05	1.662892E+01
1	3900	5.631777E+05	1.662892E+01
1	4000	5.776126E+05	1.662892E+01
1	4100	5.920475E+05	1.662892E+01
1	4200	6.064824E+05	1.662892E+01
1	4300	6.209173E+05	1.662892E+01
1	4400	6.353522E+05	1.662892E+01
1	4500	6.497871E+05	1.662892E+01
1	4600	6.642220E+05	1.662892E+01
1	4700	6.786569E+05	1.662893E+01
1	4800	6.930918E+05	1.662892E+01
1	4900	7.075267E+05	1.662892E+01
1	5000	7.219616E+05	1.662893E+01
1	5100	7.363965E+05	1.662893E+01
1	5200	7.508315E+05	1.662893E+01
1	5300	7.652664E+05	1.662893E+01
1	5400	7.797013E+05	1.662893E+01
1	5500	7.941362E+05	1.662893E+01
1	5600	8.085711E+05	1.662893E+01
1	5700	8.230060E+05	1.662893E+01
1	5800	8.374409E+05	1.662893E+01
1	5900	8.518758E+05	1.662893E+01
1	6000	8.663107E+05	1.662893E+01
1	6100	8.807456E+05	1.662893E+01
1	6200	8.951805E+05	1.662893E+01
1	6300	9.096154E+05	1.662893E+01
1	6400	9.240503E+05	1.662893E+01
1	6500	9.384852E+05	1.662893E+01
1	6600	9.529201E+05	1.662893E+01
1	6700	9.673550E+05	1.662893E+01
1	6800	9.817899E+05	1.662893E+01
1	6900	9.962248E+05	1.662893E+01
1	7000	1.010660E+06	1.662893E+01
1	7100	1.025095E+06	1.662893E+01
1	7200	1.039530E+06	1.662893E+01
1	7300	1.053964E+06	1.662893E+01
1	7400	1.068399E+06	1.662893E+01
1	7500	1.082834E+06	1.662893E+01
1	7600	1.097269E+06	1.662893E+01
1	7700	1.111704E+06	1.662893E+01
1	7800	1.126139E+06	1.662893E+01
1	7900	1.140574E+06	1.662893E+01
1	8000	1.155009E+06	1.662893E+01
1	8100	1.169444E+06	1.662893E+01
1	8200	1.183879E+06	1.662893E+01
1	8300	1.198313E+06	1.662893E+01
1	8400	1.212748E+06	1.662893E+01
1	8500	1.227183E+06	1.662893E+01
1	8600	1.241618E+06	1.662893E+01
1	8700	1.256053E+06	1.662893E+01
1	8800	1.270488E+06	1.662893E+01
1	8900	1.284923E+06	1.662893E+01
1	9000	1.299358E+06	1.662893E+01
1	9100	1.313793E+06	1.662893E+01
1	9200	1.328228E+06	1.662893E+01
1	9300	1.342662E+06	1.662893E+01
1	9400	1.357097E+06	1.662893E+01
1	9500	1.371532E+06	1.662893E+01
1	9600	1.385967E+06	1.662893E+01
1	9700	1.400402E+06	1.662893E+01
1	9800	1.414837E+06	1.662893E+01
1	9900	1.429272E+06	1.662893E+01
1	10000	1.443707E+06	1.662893E+01
1	20000	2.887197E+06	1.662893E+01
1	30000	4.330687E+06	1.662892E+01
1	40000	5.774178E+06	1.662892E+01
1	50000	7.217668E+06	1.662892E+01
1	60000	8.661158E+06	1.662893E+01
1	70000	1.010465E+07	1.662892E+01
1	80000	1.154814E+07	1.662893E+01
1	90000	1.299163E+07	1.662893E+01
1	100000	1.443512E+07	1.662892E+01
1	110000	1.587861E+07	1.662892E+01
1	120000	1.732210E+07	1.662892E+01
1	130000	1.876559E+07	1.662893E+01
1	140000	2.020908E+07	1.662891E+01
1	150000	2.165257E+07	1.662890E+01
1	160000	2.309606E+07	1.662895E+01
1	170000	2.453955E+07	1.662892E+01
1	180000	2.598304E+07	1.662889E+01
1	190000	2.742653E+07	1.662890E+01
1	200000	2.887002E+07	1.662891E+01
1	210000	3.031351E+07	1.662892E+01
